Галузь знань,Уперше прийняті,Кількість студентів,З них жінок,З них чоловіків,Частка жінок (%),Частка чоловіків (%)
КУЛЬТУРА І МИСТЕЦТВО,5057,45925.0,34568.0,11357.0,75.27,24.73
ГУМАНІТАРНІ НАУКИ,-,49237.0,39611.0,9626.0,80.45,19.55
БОГОСЛОВ'Я,-,549.0,150.0,399.0,27.32,72.68
СОЦІАЛЬНІ ТА ПОВЕДІНКОВІ НАУКИ,354,65730.0,45646.0,20084.0,69.44,30.56
ЖУРНАЛІСТИКА,99,12649.0,10108.0,2541.0,79.91,20.09
УПРАВЛІННЯ ТА АДМІНІСТРУВАННЯ,4008,170613.0,107139.0,63474.0,62.8,37.2
ПРАВО,1166,99222.0,52668.0,46554.0,53.08,46.92
БІОЛОГІЯ,-,6435.0,5235.0,1200.0,81.35,18.65
ПРИРОДНИЧІ НАУКИ,132,21017.0,11002.0,10015.0,52.35,47.65
МАТЕМАТИКА ТА СТАТИСТИКА,-,6673.0,2671.0,4002.0,40.03,59.97
ІНФОРМАЦІЙНІ ТЕХНОЛОГІЇ,2477,91048.0,15730.0,75318.0,17.28,82.72
МЕХАНІЧНА ІНЖЕНЕРІЯ,1559,39907.0,4064.0,35843.0,10.18,89.82
ЕЛЕКТРИЧНА ІНЖЕНЕРІЯ,1890,35957.0,3360.0,32597.0,9.34,90.66
АВТОМАТИЗАЦІЯ ТА ПРИЛАДОБУДУВАННЯ,371,20493.0,3220.0,17273.0,15.71,84.29
ХІМІЧНА ТА БІОІНЖЕНЕРІЯ,149,9893.0,5720.0,4173.0,57.82,42.18
ЕЛЕКТРОНІКА ТА ТЕЛЕКОМУНІКАЦІЇ,570,17207.0,2113.0,15094.0,12.28,87.72
ВИРОБНИЦТВО ТА ТЕХНОЛОГІЇ,2349,40120.0,20042.0,20078.0,49.96,50.04
АРХІТЕКТУРА ТА БУДІВНИЦТВО,2228,41202.0,13340.0,27862.0,32.38,67.62
АГРАРНІ НАУКИ ТА ПРОДОВОЛЬСТВО,2567,54281.0,12693.0,41588.0,23.38,76.62
ВЕТЕРИНАРНА МЕДИЦИНА,186,11552.0,6555.0,4997.0,56.74,43.26
ОХОРОНА ЗДОРОВ'Я,11152,74379.0,53932.0,20447.0,72.51,27.49
СОЦІАЛЬНА РОБОТА,313,12251.0,9711.0,2540.0,79.27,20.73
СФЕРА ОБСЛУГОВУВАННЯ,1654,34309.0,24447.0,9862.0,71.26,28.74
"ВОЄННІ НАУКИ, НАЦІОНАЛЬНА БЕЗПЕКА, БЕЗПЕКА ДЕРЖАВНОГО КОРДОНУ",-,4557.0,255.0,4302.0,5.6,94.4
ЦИВІЛЬНА БЕЗПЕКА,65,21096.0,7487.0,13609.0,35.49,64.51
ТРАНСПОРТ,2825,60134.0,8090.0,52044.0,13.45,86.55
ПУБЛІЧНЕ УПРАВЛІННЯ ТА АДМІНІСТРУВАННЯ,-,18905.0,11499.0,7406.0,60.83,39.17
МІЖНАРОДНІ ВІДНОСИНИ,2,18933.0,12274.0,6659.0,64.83,35.17
