Галузь знань,Уперше прийняті,Кількість студентів,З них жінок,З них чоловіків,Частка жінок (%),Частка чоловіків (%)
КУЛЬТУРА І МИСТЕЦТВО,12608.0,45964.0,34626.0,11338.0,75.33,24.67
ГУМАНІТАРНІ НАУКИ,12029.0,49908.0,40036.0,9872.0,80.22,19.78
БОГОСЛОВ'Я,122.0,970.0,184.0,786.0,18.97,81.03
СОЦІАЛЬНІ ТА ПОВЕДІНКОВІ НАУКИ,12671.0,65833.0,46884.0,18949.0,71.22,28.78
ЖУРНАЛІСТИКА,4255.0,14477.0,11639.0,2838.0,80.4,19.6
УПРАВЛІННЯ ТА АДМІНІСТРУВАННЯ,30685.0,134696.0,82820.0,51876.0,61.49,38.51
ПРАВО,15098.0,80194.0,45635.0,34559.0,56.91,43.09
БІОЛОГІЯ,1261.0,5244.0,4145.0,1099.0,79.04,20.96
ПРИРОДНИЧІ НАУКИ,4348.0,17434.0,8794.0,8640.0,50.44,49.56
МАТЕМАТИКА ТА СТАТИСТИКА,1617.0,5880.0,2323.0,3557.0,39.51,60.49
ІНФОРМАЦІЙНІ ТЕХНОЛОГІЇ,27726.0,92698.0,16885.0,75813.0,18.22,81.78
МЕХАНІЧНА ІНЖЕНЕРІЯ,6483.0,23892.0,2555.0,21337.0,10.69,89.31
ЕЛЕКТРИЧНА ІНЖЕНЕРІЯ,6010.0,24138.0,2319.0,21819.0,9.61,90.39
АВТОМАТИЗАЦІЯ ТА ПРИЛАДОБУДУВАННЯ,3680.0,14252.0,1996.0,12256.0,14.01,85.99
ХІМІЧНА ТА БІОІНЖЕНЕРІЯ,2062.0,8473.0,5139.0,3334.0,60.65,39.35
ЕЛЕКТРОНІКА ТА ТЕЛЕКОМУНІКАЦІЇ,2669.0,10505.0,1325.0,9180.0,12.61,87.39
ВИРОБНИЦТВО ТА ТЕХНОЛОГІЇ,6345.0,23350.0,11634.0,11716.0,49.82,50.18
АРХІТЕКТУРА ТА БУДІВНИЦТВО,8204.0,34549.0,12148.0,22401.0,35.16,64.84
АГРАРНІ НАУКИ ТА ПРОДОВОЛЬСТВО,9501.0,41494.0,9297.0,32197.0,22.41,77.59
ВЕТЕРИНАРНА МЕДИЦИНА,1349.0,7692.0,4769.0,2923.0,62.0,38.0
ОХОРОНА ЗДОРОВ'Я,15767.0,82199.0,60147.0,22052.0,73.17,26.83
СОЦІАЛЬНА РОБОТА,2728.0,9295.0,7179.0,2116.0,77.24,22.76
СФЕРА ОБСЛУГОВУВАННЯ,5916.0,27157.0,19476.0,7681.0,71.72,28.28
"ВОЄННІ НАУКИ, НАЦІОНАЛЬНА БЕЗПЕКА, БЕЗПЕКА ДЕРЖАВНОГО КОРДОНУ",332.0,894.0,290.0,604.0,32.44,67.56
ЦИВІЛЬНА БЕЗПЕКА,3533.0,13513.0,6081.0,7432.0,45.0,55.0
ТРАНСПОРТ,9449.0,42473.0,5624.0,36849.0,13.24,86.76
ПУБЛІЧНЕ УПРАВЛІННЯ ТА АДМІНІСТРУВАННЯ,1020.0,17009.0,10209.0,6800.0,60.02,39.98
МІЖНАРОДНІ ВІДНОСИНИ,4281.0,22508.0,14842.0,7666.0,65.94,34.06
