"Регіон","до 14 років/up to 14 years ","15 років/years","16 років/years","17 років/years","18 років/years","19 років/years","20 років/years","21 рік/years","22 роки/years","23 роки/years","24 роки/years","25 років/years","26 років/years","27 років/years","28 років/years","29 років/years","30 років/years","31 рік/years","32 роки/years","33 роки/years","34 роки/years","35-39 років/years","40-44 років/years","45-49 років/years","50-54 роки/years","55-59 років/years","60 років і більше/years and older", "Регіон_EN",
Кіровоградська,0.569327369688629,-,0.5,0.6449864498644986,0.6573033707865169,0.5146627565982405,0.5470139771283354,0.5242786769880365,0.5221987315010571,0.6016949152542372,0.5750577367205543,0.6171548117154811,0.6816479400749064,0.6041666666666666,0.6119402985074627,0.7222222222222222,0.5982142857142857,0.6470588235294118,0.673469387755102,0.7037037037037037,0.6442307692307693,0.5344827586206896,0.5823293172690763,0.6017699115044248,0.5159817351598174,0.5172413793103449,0.6176470588235294,0.7272727272727273,Kirovohrad
Луганська,0.48773521505376344,-,0,0.4915254237288136,0.47959183673469385,0.4616087751371115,0.48165760869565216,0.49464285714285716,0.4950221238938053,0.5082399472643375,0.5139385275196569,0.5629770992366412,0.5380281690140845,0.5548902195608783,0.5408970976253298,0.5354107648725213,0.5309446254071661,0.4899328859060403,0.476038338658147,0.5016949152542373,0.4384858044164038,0.44,0.41621621621621624,0.43725099601593626,0.41337907375643224,0.42023346303501946,0.4666666666666667,0.42857142857142855,Luhansk
Львівська,0.47342812801476447,-,0.2727272727272727,0.6235780765253361,0.6376394386469953,0.460698844709051,0.47079467047347134,0.4580534786465594,0.4488158654771838,0.46985015345730274,0.4780316344463972,0.4992520568436799,0.5399305555555556,0.5151098901098901,0.5095785440613027,0.5123152709359606,0.49441340782122906,0.46394984326018807,0.41901408450704225,0.4080267558528428,0.43973941368078173,0.4440789473684211,0.45375722543352603,0.4523809523809524,0.45544554455445546,0.4371859296482412,0.5113636363636364,0.7692307692307693,Lviv
Миколаївська,0.4920988203872691,0,0.15384615384615385,0.5255292652552926,0.5573376102646351,0.47124183006535947,0.4957289293849658,0.49285270354257305,0.4848,0.528441879637263,0.538560411311054,0.5983690112130479,0.5755102040816327,0.5365853658536586,0.521978021978022,0.48923076923076925,0.5102739726027398,0.48771929824561405,0.48322147651006714,0.4395973154362416,0.5,0.44108761329305135,0.42077580539119,0.41348973607038125,0.3389261744966443,0.39384615384615385,0.2767857142857143,0.48214285714285715,Mykolayiv
Одеська,0.4810951239008793,-,0.5,0.6094674556213018,0.5823170731707317,0.4512831434352039,0.450208019828273,0.444983078752401,0.4403366111951589,0.4570678665166854,0.4782851817334576,0.5159669895945461,0.5483870967741935,0.5942622950819673,0.5693069306930693,0.5963302752293578,0.5953846153846154,0.5912408759124088,0.5675675675675675,0.6082474226804123,0.5812720848056537,0.58195211786372,0.5714285714285714,0.5438713998660415,0.5397796817625459,0.5472779369627507,0.5080645161290323,0.5306122448979592,Odesa
Полтавська,0.4810253093859314,-,0.25,0.6149870801033591,0.609362389023406,0.463931718061674,0.4616063548102383,0.4633375474083439,0.4574204610401981,0.48156234837457546,0.5007552870090635,0.5487528344671202,0.5751295336787565,0.5543478260869565,0.5666666666666667,0.5098814229249012,0.4939271255060729,0.43457943925233644,0.45454545454545453,0.4104803493449782,0.461864406779661,0.39166666666666666,0.4412313432835821,0.4449275362318841,0.38444924406047515,0.41784037558685444,0.37349397590361444,0.4642857142857143,Poltava
Рівненська,0.38760806916426516,0,0.25,0.31486486486486487,0.3569482288828338,0.33771929824561403,0.36227224008574493,0.3867355727820844,0.41350087668030394,0.429723991507431,0.3706896551724138,0.38040712468193383,0.4408866995073892,0.5280898876404494,0.49356223175965663,0.4782608695652174,0.46190476190476193,0.47596153846153844,0.4088397790055249,0.4383561643835616,0.4476744186046512,0.36477987421383645,0.3776223776223776,0.4694736842105263,0.38489208633093525,0.40476190476190477,0.46808510638297873,0.35,Rivne
Сумська,0.49404099793421263,-,-,0.6267281105990783,0.6785714285714286,0.4788650839606254,0.4785303231518371,0.47688477951635844,0.4948227172889865,0.47789634146341464,0.5163522012578616,0.5504587155963303,0.5224274406332454,0.5752895752895753,0.5729166666666666,0.543859649122807,0.5374149659863946,0.5454545454545454,0.49612403100775193,0.5234375,0.4206896551724138,0.4527027027027027,0.45480631276901007,0.4847870182555781,0.4107142857142857,0.4076923076923077,0.35294117647058826,0.625,Sumy
Тернопільська,0.44107363588204135,-,0.25,0.4625748502994012,0.43792325056433407,0.4339339339339339,0.4176844162188569,0.4444444444444444,0.45107758620689653,0.4588333798492883,0.42049319727891155,0.42764578833693306,0.460431654676259,0.48770491803278687,0.4935064935064935,0.5324675324675324,0.5190839694656488,0.4603174603174603,0.46774193548387094,0.48717948717948717,0.4198473282442748,0.43703703703703706,0.425,0.4245689655172414,0.40384615384615385,0.48,0.5306122448979592,0.5,Ternopil
Харківська,0.4853922634142414,-,0.42857142857142855,0.6165333333333334,0.6067232375979112,0.46978707078457704,0.4790650406504065,0.4709727626459144,0.480956927646934,0.49327084030800133,0.5033689229812377,0.5086641807413906,0.5138321995464853,0.49417409184372857,0.5065458207452165,0.5151883353584447,0.5345821325648416,0.49411764705882355,0.49266862170087977,0.4790996784565916,0.4322678843226788,0.4260614934114202,0.4437946718648473,0.4340974212034384,0.41569282136894825,0.42134831460674155,0.4088397790055249,0.4444444444444444,Kharkiv 
Херсонська,0.6193990257078088,-,0.6666666666666666,0.7321428571428571,0.7559863169897377,0.5784883720930233,0.5744832501781896,0.5826319816373374,0.55,0.5855263157894737,0.6143106457242583,0.6630434782608695,0.7063291139240506,0.6828478964401294,0.696078431372549,0.7303370786516854,0.7605042016806722,0.7457627118644068,0.7159090909090909,0.7491039426523297,0.6821428571428572,0.6678832116788321,0.6767169179229481,0.6454545454545455,0.6044776119402985,0.6269430051813472,0.6491228070175439,0.7857142857142857,Kherson
Хмельницька,0.45139876718824085,-,0.1875,0.41229656419529837,0.3886348791639451,0.4057649667405765,0.4421477186791026,0.4519553072625698,0.458163858221964,0.4697088906372935,0.49455782312925173,0.5650929899856938,0.5762273901808785,0.5588235294117647,0.5576923076923077,0.5691489361702128,0.5416666666666666,0.4594594594594595,0.5032679738562091,0.5109489051094891,0.43790849673202614,0.45774647887323944,0.40978593272171254,0.46649484536082475,0.43333333333333335,0.44565217391304346,0.45,0.7058823529411765,Khmelnytskiy
Черкаська,0.4641601381777805,-,0.65,0.5069444444444444,0.5041962556488057,0.4500638569604087,0.4649598611412454,0.4478541762805722,0.4283711147464361,0.47181372549019607,0.48377916903813317,0.5605536332179931,0.5760286225402504,0.5577777777777778,0.6,0.5368731563421829,0.513595166163142,0.4584615384615385,0.446875,0.44871794871794873,0.42318840579710143,0.4199395770392749,0.4370761115297664,0.42024202420242024,0.38247011952191234,0.379182156133829,0.4936708860759494,0.574468085106383,Cherkasy
Чернівецька,0.430068520757759,0,0.2857142857142857,0.5362903225806451,0.5360824742268041,0.44758576874205847,0.43998965338851526,0.4237116019294237,0.4048870204939569,0.38920562523755226,0.39107806691449815,0.45098039215686275,0.45021645021645024,0.4142857142857143,0.43037974683544306,0.475,0.36363636363636365,0.4,0.4666666666666667,0.22413793103448276,0.3191489361702128,0.425531914893617,0.4534412955465587,0.42142857142857143,0.5,0.4583333333333333,0.3333333333333333,-,Chernivtsi
Чернігівська,0.4882860665844636,-,0,0.6118421052631579,0.5639810426540285,0.45558546433378194,0.49029395452024405,0.4942355889724311,0.4594325535092086,0.4543063773833005,0.47535596933187296,0.5346938775510204,0.5992217898832685,0.5736040609137056,0.5874125874125874,0.5576923076923077,0.5042016806722689,0.6302521008403361,0.5181818181818182,0.48695652173913045,0.5656565656565656,0.5047619047619047,0.5,0.49280575539568344,0.5114942528735632,0.3068181818181818,0.7894736842105263,0.45454545454545453,Chernihiv
м. Київ,0.4493787559660683,0,0.6,0.4569055036344756,0.4756606397774687,0.4219371550155725,0.4421122613733498,0.4409729808462603,0.44746399189663266,0.45680367118914605,0.47710059472373306,0.5040054157734402,0.5131396957123098,0.503604902667628,0.5027675276752768,0.5171213000580384,0.5034965034965035,0.48751642575558474,0.47582872928176795,0.46657381615598886,0.4375812743823147,0.4210879785090665,0.42393978868143,0.4107065452969224,0.38527653213751867,0.3880463871543265,0.42761692650334077,0.49537037037037035,city of Kyiv
