Галузь знань,Уперше прийняті,Кількість студентів,З них жінок,З них чоловіків,Частка жінок (%),Частка чоловіків (%)
КУЛЬТУРА І МИСТЕЦТВО,14121.0,49546.0,37283.0,12263.0,75.25,24.75
ГУМАНІТАРНІ НАУКИ,11744.0,47705.0,38182.0,9523.0,80.04,19.96
БОГОСЛОВ'Я,91.0,577.0,120.0,457.0,20.8,79.2
СОЦІАЛЬНІ ТА ПОВЕДІНКОВІ НАУКИ,14610.0,64103.0,45212.0,18891.0,70.53,29.47
ЖУРНАЛІСТИКА,3629.0,13462.0,10856.0,2606.0,80.64,19.36
УПРАВЛІННЯ ТА АДМІНІСТРУВАННЯ,40131.0,145261.0,89917.0,55344.0,61.9,38.1
ПРАВО,18375.0,86460.0,48770.0,37690.0,56.41,43.59
БІОЛОГІЯ,1104.0,5079.0,4041.0,1038.0,79.56,20.44
ПРИРОДНИЧІ НАУКИ,4145.0,17712.0,9078.0,8634.0,51.25,48.75
МАТЕМАТИКА ТА СТАТИСТИКА,1347.0,5474.0,2161.0,3313.0,39.48,60.52
ІНФОРМАЦІЙНІ ТЕХНОЛОГІЇ,25801.0,89138.0,15396.0,73742.0,17.27,82.73
МЕХАНІЧНА ІНЖЕНЕРІЯ,7251.0,29566.0,3011.0,26555.0,10.18,89.82
ЕЛЕКТРИЧНА ІНЖЕНЕРІЯ,7608.0,29728.0,2703.0,27025.0,9.09,90.91
АВТОМАТИЗАЦІЯ ТА ПРИЛАДОБУДУВАННЯ,4211.0,16060.0,2240.0,13820.0,13.95,86.05
ХІМІЧНА ТА БІОІНЖЕНЕРІЯ,2011.0,8482.0,5153.0,3329.0,60.75,39.25
ЕЛЕКТРОНІКА ТА ТЕЛЕКОМУНІКАЦІЇ,3220.0,12772.0,1615.0,11157.0,12.64,87.36
ВИРОБНИЦТВО ТА ТЕХНОЛОГІЇ,9198.0,32458.0,16373.0,16085.0,50.44,49.56
АРХІТЕКТУРА ТА БУДІВНИЦТВО,10314.0,41077.0,14243.0,26834.0,34.67,65.33
АГРАРНІ НАУКИ ТА ПРОДОВОЛЬСТВО,12532.0,50605.0,10950.0,39655.0,21.64,78.36
ВЕТЕРИНАРНА МЕДИЦИНА,2296.0,9155.0,5450.0,3705.0,59.53,40.47
ОХОРОНА ЗДОРОВ'Я,19907.0,93686.0,69440.0,24246.0,74.12,25.88
СОЦІАЛЬНА РОБОТА,2555.0,9980.0,7732.0,2248.0,77.47,22.53
СФЕРА ОБСЛУГОВУВАННЯ,10113.0,35862.0,26272.0,9590.0,73.26,26.74
"ВОЄННІ НАУКИ, НАЦІОНАЛЬНА БЕЗПЕКА, БЕЗПЕКА ДЕРЖАВНОГО КОРДОНУ",154.0,701.0,229.0,472.0,32.67,67.33
ЦИВІЛЬНА БЕЗПЕКА,3222.0,13316.0,5911.0,7405.0,44.39,55.61
ТРАНСПОРТ,12284.0,50984.0,7179.0,43805.0,14.08,85.92
ПУБЛІЧНЕ УПРАВЛІННЯ ТА АДМІНІСТРУВАННЯ,1216.0,16807.0,10032.0,6775.0,59.69,40.31
МІЖНАРОДНІ ВІДНОСИНИ,4945.0,22153.0,14550.0,7603.0,65.68,34.32
