Галузь знань,Уперше прийняті,Кількість студентів,З них жінок,З них чоловіків,Частка жінок (%),Частка чоловіків (%)
КУЛЬТУРА І МИСТЕЦТВО,5405,38602.0,29220.0,9382.0,75.7,24.3
ГУМАНІТАРНІ НАУКИ,-,42954.0,34561.0,8393.0,80.46,19.54
БОГОСЛОВ'Я,-,587.0,136.0,451.0,23.17,76.83
СОЦІАЛЬНІ ТА ПОВЕДІНКОВІ НАУКИ,456,60154.0,40992.0,19162.0,68.15,31.85
ЖУРНАЛІСТИКА,85,10885.0,8668.0,2217.0,79.63,20.37
УПРАВЛІННЯ ТА АДМІНІСТРУВАННЯ,4420,169284.0,107505.0,61779.0,63.51,36.49
ПРАВО,1712,86893.0,45543.0,41350.0,52.41,47.59
БІОЛОГІЯ,-,5837.0,4805.0,1032.0,82.32,17.68
ПРИРОДНИЧІ НАУКИ,110,18343.0,9893.0,8450.0,53.93,46.07
МАТЕМАТИКА ТА СТАТИСТИКА,-,5735.0,2334.0,3401.0,40.7,59.3
ІНФОРМАЦІЙНІ ТЕХНОЛОГІЇ,2660,75491.0,13406.0,62085.0,17.76,82.24
МЕХАНІЧНА ІНЖЕНЕРІЯ,1539,36094.0,3614.0,32480.0,10.01,89.99
ЕЛЕКТРИЧНА ІНЖЕНЕРІЯ,1960,32634.0,3136.0,29498.0,9.61,90.39
АВТОМАТИЗАЦІЯ ТА ПРИЛАДОБУДУВАННЯ,398,18607.0,3085.0,15522.0,16.58,83.42
ХІМІЧНА ТА БІОІНЖЕНЕРІЯ,115,8458.0,4934.0,3524.0,58.34,41.66
ЕЛЕКТРОНІКА ТА ТЕЛЕКОМУНІКАЦІЇ,672,16174.0,2083.0,14091.0,12.88,87.12
ВИРОБНИЦТВО ТА ТЕХНОЛОГІЇ,2346,35128.0,17154.0,17974.0,48.83,51.17
АРХІТЕКТУРА ТА БУДІВНИЦТВО,2233,36660.0,11652.0,25008.0,31.78,68.22
АГРАРНІ НАУКИ ТА ПРОДОВОЛЬСТВО,2604,47701.0,11285.0,36416.0,23.66,76.34
ВЕТЕРИНАРНА МЕДИЦИНА,203,10091.0,5703.0,4388.0,56.52,43.48
ОХОРОНА ЗДОРОВ'Я,13558,60369.0,42307.0,18062.0,70.08,29.92
СОЦІАЛЬНА РОБОТА,414,9964.0,7922.0,2042.0,79.51,20.49
СФЕРА ОБСЛУГОВУВАННЯ,1762,27587.0,19369.0,8218.0,70.21,29.79
"ВОЄННІ НАУКИ, НАЦІОНАЛЬНА БЕЗПЕКА, БЕЗПЕКА ДЕРЖАВНОГО КОРДОНУ",-,8036.0,369.0,7667.0,4.59,95.41
ЦИВІЛЬНА БЕЗПЕКА,67,13514.0,4364.0,9150.0,32.29,67.71
ТРАНСПОРТ,3332,52480.0,7016.0,45464.0,13.37,86.63
ПУБЛІЧНЕ УПРАВЛІННЯ ТА АДМІНІСТРУВАННЯ,-,13371.0,7942.0,5429.0,59.4,40.6
МІЖНАРОДНІ ВІДНОСИНИ,2,15183.0,9604.0,5579.0,63.25,36.75
