Галузь знань,Уперше прийняті,Кількість студентів,З них жінок,З них чоловіків,Частка жінок (%),Частка чоловіків (%)
КУЛЬТУРА І МИСТЕЦТВО,12953,50229.0,34541.0,15688.0,68.77,31.23
ГУМАНІТАРНІ НАУКИ,9862,46075.0,35667.0,10408.0,77.41,22.59
БОГОСЛОВ'Я,136,1240.0,198.0,1042.0,15.97,84.03
СОЦІАЛЬНІ ТА ПОВЕДІНКОВІ НАУКИ,15689,82606.0,56738.0,25868.0,68.69,31.31
ЖУРНАЛІСТИКА,2538,12842.0,9847.0,2995.0,76.68,23.32
УПРАВЛІННЯ ТА АДМІНІСТРУВАННЯ,27786,147604.0,74233.0,73371.0,50.29,49.71
ПРАВО,17379,83755.0,46700.0,37055.0,55.76,44.24
БІОЛОГІЯ,615,4817.0,3605.0,1212.0,74.84,25.16
ПРИРОДНИЧІ НАУКИ,3318,19619.0,7487.0,12132.0,38.16,61.84
МАТЕМАТИКА ТА СТАТИСТИКА,1474,6552.0,2319.0,4233.0,35.39,64.61
ІНФОРМАЦІЙНІ ТЕХНОЛОГІЇ,24414,108207.0,18824.0,89383.0,17.4,82.6
МЕХАНІЧНА ІНЖЕНЕРІЯ,7968,30896.0,2346.0,28550.0,7.59,92.41
ЕЛЕКТРИЧНА ІНЖЕНЕРІЯ,7701,29368.0,2194.0,27174.0,7.47,92.53
АВТОМАТИЗАЦІЯ ТА ПРИЛАДОБУДУВАННЯ,4,10148.0,1227.0,8921.0,12.09,87.91
ХІМІЧНА ТА БІОІНЖЕНЕРІЯ,8,5636.0,3069.0,2567.0,54.45,45.55
ХІМІЧНА ІНЖЕНЕРІЯ ТА БІОІНЖЕНЕРІЯ ,1362,3103.0,1095.0,2008.0,35.29,64.71
ЕЛЕКТРОНІКА ТА ТЕЛЕКОМУНІКАЦІЇ,3,7230.0,806.0,6424.0,11.15,88.85
"ЕЛЕКТРОНІКА, АВТОМАТИЗАЦІЯ ТА ЕЛЕКТРОННІ КОМУНІКАЦІЇ",8793,15351.0,1203.0,14148.0,7.84,92.16
ВИРОБНИЦТВО ТА ТЕХНОЛОГІЇ,8825,30663.0,10664.0,19999.0,34.78,65.22
АРХІТЕКТУРА ТА БУДІВНИЦТВО,10336,43819.0,11467.0,32352.0,26.17,73.83
АГРАРНІ НАУКИ ТА ПРОДОВОЛЬСТВО,14707,50791.0,8107.0,42684.0,15.96,84.04
ВЕТЕРИНАРНА МЕДИЦИНА,– ,5940.0,3748.0,2192.0,63.1,36.9
ВЕТЕРИНАРІЯ,1160,1274.0,837.0,437.0,65.7,34.3
ОХОРОНА ЗДОРОВ'Я,14788,71663.0,51535.0,20128.0,71.91,28.09
СОЦІАЛЬНА РОБОТА,1553,11890.0,7458.0,4432.0,62.72,37.28
СФЕРА ОБСЛУГОВУВАННЯ,4178,22939.0,14316.0,8623.0,62.41,37.59
"ВОЄННІ НАУКИ, НАЦІОНАЛЬНА БЕЗПЕКА, БЕЗПЕКА ДЕРЖАВНОГО КОРДОНУ",576,2712.0,797.0,1915.0,29.39,70.61
ЦИВІЛЬНА БЕЗПЕКА,3991,19792.0,7856.0,11936.0,39.69,60.31
ТРАНСПОРТ,10601,40274.0,5053.0,35221.0,12.55,87.45
ПУБЛІЧНЕ УПРАВЛІННЯ ТА АДМІНІСТРУВАННЯ,1470,16071.0,7834.0,8237.0,48.75,51.25
МІЖНАРОДНІ ВІДНОСИНИ,4746,21804.0,13533.0,8271.0,62.07,37.93
