"Регіон","до 14 років/up to 14 years ","15 років/years","16 років/years","17 років/years","18 років/years","19 років/years","20 років/years","21 рік/years","22 роки/years","23 роки/years","24 роки/years","25 років/years","26 років/years","27 років/years","28 років/years","29 років/years","30 років/years","31 рік/years","32 роки/years","33 роки/years","34 роки/years","35-39 років/years","40-44 років/years","45-49 років/years","50-54 роки/years","55-59 років/years","60 років і більше/years and older", "Регіон_EN",
Україна,534944,0,75,12603,19833,62919,79772,76949,76294,60061,40240,20639,10969,7203,5685,4701,4209,3810,3621,3492,3523,3409,15638,10000,5460,2432,934,473
Вінницька,17631,-,6,498,795,2205,2788,2600,2658,2186,1297,622,348,186,150,115,99,83,70,78,67,63,286,209,120,61,26,15
Волинська,9187,-,-,270,361,1115,1417,1384,1436,1035,789,348,135,92,88,58,41,45,30,37,40,43,179,119,81,27,11,5
Дніпропетровська,39597,-,3,985,1765,4448,5835,5568,5123,4467,3310,1793,870,533,397,311,283,261,284,273,268,241,1183,749,383,157,66,41
Донецька,13967,-,2,363,621,1396,1776,1655,1609,1406,950,591,367,310,258,228,175,167,157,139,165,187,716,397,212,92,18,10
Житомирська,12492,-,2,632,969,1822,2011,1625,1444,1066,568,270,213,152,150,130,127,87,79,98,72,90,410,264,139,50,19,3
Закарпатська,7345,-,6,307,385,1243,1261,990,1038,824,462,210,79,57,35,46,35,31,19,19,21,24,102,72,41,22,12,4
Запорізька,22177,-,-,293,520,1793,2448,2742,2996,2594,2132,1368,766,446,373,268,249,228,206,217,213,195,921,565,363,162,81,35
Івано-Франківська,13886,-,3,657,877,2009,2417,2174,2128,1431,770,322,143,100,79,59,58,48,52,47,39,38,216,113,67,22,12,5
Київська,9388,-,-,231,311,731,1130,1092,1158,982,856,503,293,210,161,151,127,96,95,93,89,81,468,280,141,77,25,7
Кіровоградська,6619,-,1,238,351,702,861,745,741,639,498,295,182,116,82,91,67,77,66,57,67,62,290,204,113,45,21,8
Луганська,8709,-,0,116,188,505,709,831,895,771,719,590,382,278,205,189,163,146,149,148,139,132,616,439,241,108,35,15
Львівська,45148,-,3,1206,1772,6500,7915,7229,6993,5205,3264,1335,622,375,266,208,177,148,119,122,135,135,628,399,230,87,45,30
Миколаївська,13266,0,2,422,695,1442,1741,1586,1515,1282,838,587,282,220,190,159,149,139,144,131,145,146,640,423,202,128,31,27
Одеська,36111,-,6,927,1528,4238,5086,4865,4657,3657,2566,1438,833,580,460,390,387,324,336,295,329,316,1360,812,441,191,63,26
Полтавська,16364,-,1,476,755,1685,2092,2199,2401,1985,1326,726,444,255,187,129,122,93,100,94,109,94,473,307,178,89,31,13
Рівненська,9415,0,1,233,393,1078,1352,1347,1415,1012,602,299,179,141,115,99,97,99,74,64,77,58,270,223,107,51,22,7
Сумська,9327,-,-,136,228,827,1081,1341,1577,1254,821,360,198,149,110,93,79,72,64,67,61,67,317,239,115,53,12,5
Тернопільська,12489,-,2,309,388,1445,1710,1996,2093,1644,989,396,192,119,114,82,68,58,58,57,55,59,272,197,105,48,26,7
Харківська,60293,-,3,1156,1859,7347,9428,9078,9067,7367,4856,2319,1133,721,503,424,371,336,336,298,284,291,1366,909,498,225,74,44
Херсонська,12842,-,2,369,663,1393,1612,1523,1364,1068,704,427,279,211,213,195,181,220,189,209,191,183,808,426,243,121,37,11
Хмельницька,11424,-,3,456,595,1464,1754,1618,1577,1194,727,395,223,133,116,107,104,68,77,70,67,65,268,181,91,41,18,12
Черкаська,15049,-,13,511,781,1762,2143,1941,1833,1540,850,486,322,251,225,182,170,149,143,140,146,139,580,382,192,102,39,27
Чернівецька,9603,0,2,399,520,1409,1701,1669,1541,1024,526,230,104,58,34,38,28,18,28,13,15,20,112,59,37,11,3,-
Чернігівська,6336,-,0,93,119,677,884,986,923,691,434,262,154,113,84,58,60,75,57,56,56,53,228,137,89,27,15,5
м. Київ,116279,0,9,1320,2394,13683,18620,18165,18112,13737,9386,4467,2226,1397,1090,891,792,742,689,670,673,627,2929,1895,1031,435,192,107
