Галузь знань,Уперше прийняті,Кількість студентів,З них жінок,З них чоловіків,Частка жінок (%),Частка чоловіків (%)
КУЛЬТУРА І МИСТЕЦТВО,9741,44018.0,31243.0,12775.0,70.98,29.02
ГУМАНІТАРНІ НАУКИ,10060,41309.0,32759.0,8550.0,79.3,20.7
БОГОСЛОВ'Я,271,1488.0,180.0,1308.0,12.1,87.9
СОЦІАЛЬНІ ТА ПОВЕДІНКОВІ НАУКИ,17718,79756.0,57673.0,22083.0,72.31,27.69
ЖУРНАЛІСТИКА,2682,11376.0,8888.0,2488.0,78.13,21.87
УПРАВЛІННЯ ТА АДМІНІСТРУВАННЯ,33827,128222.0,68679.0,59543.0,53.56,46.44
ПРАВО,8807,67733.0,37803.0,29930.0,55.81,44.19
БІОЛОГІЯ,572,3529.0,2624.0,905.0,74.36,25.64
ПРИРОДНИЧІ НАУКИ,2679,14654.0,5731.0,8923.0,39.11,60.89
МАТЕМАТИКА ТА СТАТИСТИКА,889,5097.0,2015.0,3082.0,39.53,60.47
ІНФОРМАЦІЙНІ ТЕХНОЛОГІЇ,20163,93465.0,18136.0,75329.0,19.4,80.6
МЕХАНІЧНА ІНЖЕНЕРІЯ,5022,24272.0,1814.0,22458.0,7.47,92.53
ЕЛЕКТРИЧНА ІНЖЕНЕРІЯ,4877,22775.0,1665.0,21110.0,7.31,92.69
АВТОМАТИЗАЦІЯ ТА ПРИЛАДОБУДУВАННЯ,0,4332.0,597.0,3735.0,13.78,86.22
ХІМІЧНА ТА БІОІНЖЕНЕРІЯ,0,2646.0,1490.0,1156.0,56.31,43.69
"ХІМІЧНА ІНЖЕНЕРІЯ ТА БІОІНЖЕНЕРІЯ ",1011,3718.0,1729.0,1989.0,46.5,53.5
"ЕЛЕКТРОНІКА ТА ТЕЛЕКОМУНІКАЦІЇ",0,3477.0,393.0,3084.0,11.3,88.7
"ЕЛЕКТРОНІКА, АВТОМАТИЗАЦІЯ ТА ЕЛЕКТРОННІ КОМУНІКАЦІЇ",4402,16908.0,1584.0,15324.0,9.37,90.63
ВИРОБНИЦТВО ТА ТЕХНОЛОГІЇ,4341,22973.0,8492.0,14481.0,36.97,63.03
АРХІТЕКТУРА ТА БУДІВНИЦТВО,7233,34444.0,10122.0,24322.0,29.39,70.61
АГРАРНІ НАУКИ ТА ПРОДОВОЛЬСТВО,8536,39893.0,6651.0,33242.0,16.67,83.33
ВЕТЕРИНАРНА МЕДИЦИНА,0,4148.0,2653.0,1495.0,63.96,36.04
ВЕТЕРИНАРІЯ,1042,2198.0,1491.0,707.0,67.83,32.17
ОХОРОНА ЗДОРОВ'Я,13516,66435.0,47431.0,19004.0,71.39,28.61
СОЦІАЛЬНА РОБОТА,1763,9824.0,6095.0,3729.0,62.04,37.96
СФЕРА ОБСЛУГОВУВАННЯ,4554,17961.0,11778.0,6183.0,65.58,34.42
"ВОЄННІ НАУКИ, НАЦІОНАЛЬНА БЕЗПЕКА, БЕЗПЕКА ДЕРЖАВНОГО КОРДОНУ",550,2840.0,922.0,1918.0,32.46,67.54
ЦИВІЛЬНА БЕЗПЕКА,4246,17292.0,7560.0,9732.0,43.72,56.28
ТРАНСПОРТ,5908,31791.0,4309.0,27482.0,13.55,86.45
ПУБЛІЧНЕ УПРАВЛІННЯ ТА АДМІНІСТРУВАННЯ,689,10053.0,5248.0,4805.0,52.2,47.8
МІЖНАРОДНІ ВІДНОСИНИ,3677,18546.0,12169.0,6377.0,65.62,34.38
